Time	TS	TMT	TMR	SeqExp	SeqRcv
16:13:46.378	9744	1405692826332	1405692826378	7	7
16:13:46.631	9996	1405692826582	1405692826631	8	8
16:13:46.881	10244	1405692826833	1405692826881	1	9
16:13:47.133	10496	1405692827083	1405692827133	0	0
16:13:47.384	10744	1405692827333	1405692827384	1	1
16:13:47.634	10996	1405692827584	1405692827634	2	2
16:13:47.887	11248	1405692827834	1405692827887	3	3
16:13:48.150	11508	1405692828084	1405692828150	4	4
16:13:48.381	11744	1405692828335	1405692828381	5	5
16:13:48.633	11996	1405692828585	1405692828633	6	6
16:13:48.884	12248	1405692828836	1405692828884	7	7
16:13:49.147	12500	1405692829086	1405692829147	8	8
16:13:49.386	12744	1405692829336	1405692829386	1	9
16:13:49.638	12996	1405692829587	1405692829638	0	0
16:13:49.887	13244	1405692829837	1405692829887	1	1
16:13:50.133	13496	1405692830087	1405692830133	2	2
16:13:50.384	13744	1405692830338	1405692830384	3	3
16:13:50.639	13996	1405692830588	1405692830639	4	4
16:13:50.889	14244	1405692830838	1405692830889	5	5
16:13:51.135	14496	1405692831089	1405692831135	6	6
16:13:51.386	14744	1405692831339	1405692831386	7	7
16:13:51.640	14996	1405692831589	1405692831640	8	8
16:13:51.886	15244	1405692831840	1405692831886	1	9
16:13:52.147	15500	1405692832090	1405692832147	0	0
16:13:52.390	15744	1405692832340	1405692832390	1	1
16:13:52.642	15996	1405692832591	1405692832642	2	2
16:13:52.890	16244	1405692832841	1405692832890	3	3
16:13:53.140	112	1405692833091	1405692833140	4	4
16:13:53.401	360	1405692833342	1405692833401	5	5
16:13:53.639	612	1405692833592	1405692833639	6	6
16:13:53.888	860	1405692833843	1405692833888	7	7
16:13:54.142	1112	1405692834093	1405692834142	8	8
16:13:54.391	1360	1405692834343	1405692834391	1	9
16:13:54.642	1612	1405692834594	1405692834642	0	0
16:13:54.892	1864	1405692834844	1405692834892	1	1
16:13:55.142	2116	1405692835094	1405692835142	2	2
16:13:55.396	2364	1405692835345	1405692835396	3	3
16:13:55.646	2612	1405692835595	1405692835646	4	4
16:13:55.892	2864	1405692835845	1405692835892	5	5
16:13:56.144	3112	1405692836096	1405692836144	6	6
16:13:56.398	3364	1405692836346	1405692836398	7	7
16:13:56.647	3612	1405692836596	1405692836647	8	8
16:13:56.899	3864	1405692836847	1405692836899	1	9
16:13:57.146	4112	1405692837097	1405692837146	0	0
16:13:57.396	4364	1405692837347	1405692837396	1	1
16:13:57.644	4612	1405692837598	1405692837644	2	2
16:13:57.897	4864	1405692837848	1405692837897	3	3
16:13:58.147	5112	1405692838098	1405692838147	4	4
16:13:58.399	5364	1405692838349	1405692838399	5	5
16:13:58.649	5612	1405692838599	1405692838649	6	6
