Time	TS	TMT	TMR	SeqExp	SeqRcv
13:09:34.396	9508	1405940974365	1405940974396	5	5
13:09:34.661	9776	1405940974630	1405940974661	6	6
13:09:34.926	10040	1405940974895	1405940974926	7	7
13:09:35.192	10308	1405940975160	1405940975192	8	8
13:09:35.457	10572	1405940975426	1405940975457	1	9
13:09:35.722	10836	1405940975691	1405940975722	0	0
13:09:35.987	11104	1405940975956	1405940975987	1	1
13:09:36.252	11364	1405940976221	1405940976252	2	2
13:09:36.518	11632	1405940976486	1405940976518	3	3
13:09:36.767	11896	1405940976752	1405940976767	4	4
13:09:37.048	12160	1405940977017	1405940977048	5	5
13:09:37.298	12428	1405940977282	1405940977298	6	6
13:09:37.579	12692	1405940977547	1405940977579	7	7
13:09:37.844	12956	1405940977813	1405940977844	8	8
13:09:38.109	13224	1405940978078	1405940978109	1	9
13:09:38.374	13488	1405940978343	1405940978374	0	0
13:09:38.639	13752	1405940978608	1405940978639	1	1
13:09:38.905	14020	1405940978873	1405940978905	2	2
13:09:39.170	14284	1405940979139	1405940979170	3	3
13:09:39.435	14548	1405940979404	1405940979435	4	4
13:09:39.700	14812	1405940979669	1405940979700	5	5
13:09:39.965	15080	1405940979934	1405940979965	6	6
13:09:40.231	15344	1405940980200	1405940980231	7	7
13:09:40.496	15608	1405940980465	1405940980496	8	8
13:09:40.761	15876	1405940980730	1405940980761	1	9
13:09:41.026	16140	1405940980995	1405940981026	0	0
13:09:41.292	20	1405940981260	1405940981292	1	1
13:09:41.541	284	1405940981526	1405940981541	2	2
13:09:41.822	552	1405940981791	1405940981822	3	3
13:09:42.087	816	1405940982056	1405940982087	4	4
13:09:42.352	1080	1405940982321	1405940982352	5	5
13:09:42.618	1356	1405940982586	1405940982618	6	6
13:09:42.883	1612	1405940982852	1405940982883	7	7
13:09:43.148	1876	1405940983117	1405940983148	8	8
13:09:43.413	2144	1405940983382	1405940983413	1	9
13:09:43.679	2408	1405940983647	1405940983679	0	0
13:09:43.944	2672	1405940983913	1405940983944	1	1
13:09:44.209	2940	1405940984178	1405940984209	2	2
13:09:44.474	3204	1405940984443	1405940984474	3	3
13:09:44.739	3468	1405940984708	1405940984739	4	4
13:09:45.005	3732	1405940984973	1405940985005	5	5
13:09:45.270	4000	1405940985239	1405940985270	6	6
13:09:45.535	4264	1405940985504	1405940985535	7	7
13:09:45.800	4528	1405940985769	1405940985800	8	8
13:09:46.066	4796	1405940986034	1405940986066	1	9
13:09:46.331	5076	1405940986300	1405940986331	0	0
13:09:46.596	5324	1405940986565	1405940986596	1	1
13:09:46.861	5588	1405940986830	1405940986861	2	2
13:09:47.126	5856	1405940987095	1405940987126	3	3
13:09:47.392	6120	1405940987360	1405940987392	4	4
13:09:47.657	6384	1405940987626	1405940987657	5	5
13:09:47.906	6652	1405940987891	1405940987906	6	6
13:09:48.187	6916	1405940988156	1405940988187	7	7
13:09:48.452	7180	1405940988421	1405940988452	8	8
13:09:48.718	7444	1405940988687	1405940988718	1	9
13:09:48.983	7712	1405940988952	1405940988983	0	0
13:09:49.248	7976	1405940989217	1405940989248	1	1
13:09:49.513	8244	1405940989482	1405940989513	2	2
13:09:49.779	8508	1405940989747	1405940989779	3	3
13:09:50.028	8772	1405940990013	1405940990028	4	4
13:09:50.309	9040	1405940990278	1405940990309	5	5
13:09:50.574	9308	1405940990543	1405940990574	6	6
13:09:50.839	9568	1405940990808	1405940990839	7	7
13:09:51.105	9836	1405940991073	1405940991105	8	8
13:09:51.370	10100	1405940991339	1405940991370	1	9
13:09:51.635	10364	1405940991604	1405940991635	0	0
13:09:51.900	10628	1405940991869	1405940991900	1	1
13:09:52.166	10896	1405940992134	1405940992166	2	2
13:09:52.431	11160	1405940992400	1405940992431	3	3
13:09:52.696	11428	1405940992665	1405940992696	4	4
13:09:52.961	11688	1405940992930	1405940992961	5	5
