Time	TS	TMT	TMR	delay	offs	error	errorSum	zeroOffset	regOffsMs	phase	tsOffset
13:33:05.159	15812	1405942385097	1405942385159	31	1405942369316	-1	-18	1405942369317	1405942369317	2	0
13:33:06.470	17108	1405942386392	1405942386470	39	1405942369323	6	-13	1405942369317	1405942369317	3	16384
13:33:06.720	17372	1405942386657	1405942386720	31	1405942369316	-1	-15	1405942369317	1405942369317	3	16384
13:33:06.985	17636	1405942386922	1405942386985	31	1405942369317	0	-16	1405942369317	1405942369317	3	16384
13:33:07.250	17900	1405942387188	1405942387250	31	1405942369319	2	-15	1405942369317	1405942369317	3	16384
13:33:07.515	18168	1405942387453	1405942387515	31	1405942369316	-1	-17	1405942369317	1405942369317	3	16384
13:33:07.780	18432	1405942387718	1405942387780	31	1405942369317	0	-18	1405942369317	1405942369317	3	16384
13:33:08.046	18696	1405942387983	1405942388046	31	1405942369318	1	-18	1405942369317	1405942369317	3	16384
13:33:08.326	18960	1405942388248	1405942388326	39	1405942369327	10	-9	1405942369317	1405942369317	3	16384
13:33:08.576	19228	1405942388514	1405942388576	31	1405942369317	0	-10	1405942369317	1405942369317	3	16384
13:33:09.887	20528	1405942389809	1405942389887	39	1405942369320	3	-8	1405942369317	1405942369317	1	16384
13:33:10.136	20792	1405942390074	1405942390136	31	1405942369313	-4	-13	1405942369317	1405942369317	1	16384
13:33:10.401	21052	1405942390339	1405942390401	31	1405942369318	1	-13	1405942369317	1405942369317	1	16384
13:33:10.667	21320	1405942390604	1405942390667	31	1405942369315	-2	-16	1405942369317	1405942369317	1	16384
13:33:10.932	21584	1405942390869	1405942390932	31	1405942369316	-1	-18	1405942369317	1405942369317	1	16384
13:33:11.213	21848	1405942391135	1405942391213	39	1405942369326	9	-10	1405942369317	1405942369317	1	16384
13:33:11.478	22116	1405942391400	1405942391478	39	1405942369323	6	-5	1405942369317	1405942369317	1	16384
13:33:11.728	22380	1405942391665	1405942391728	31	1405942369316	-1	-7	1405942369317	1405942369317	1	16384
13:33:13.458	24220	1405942393393	1405942393458	32	1405942369205	-74	-82	1405942369317	1405942369316	1	16384
13:33:13.702	24476	1405942393645	1405942393701	28	1405942369197	-74	-157	1405942369317	1405942369315	1	16384
13:33:13.961	24744	1405942393897	1405942393960	31	1405942369184	-74	-232	1405942369317	1405942369314	1	16384
13:33:14.203	25008	1405942394149	1405942394202	26	1405942369167	-74	-307	1405942369317	1405942369313	1	16384
13:33:14.449	25272	1405942394401	1405942394449	24	1405942369153	-74	-382	1405942369317	1405942369312	1	16384
13:33:14.703	25536	1405942394652	1405942394702	25	1405942369141	-74	-457	1405942369317	1405942369310	1	16384
13:33:14.962	25800	1405942394903	1405942394962	29	1405942369132	-74	-532	1405942369317	1405942369309	1	16384
13:33:15.216	26068	1405942395154	1405942395216	31	1405942369117	-74	-607	1405942369317	1405942369308	1	16384
13:33:16.714	27644	1405942396657	1405942396713	28	1405942369041	-74	-682	1405942369317	1405942369307	1	16384
13:33:16.954	27908	1405942396908	1405942396953	22	1405942369022	-74	-757	1405942369317	1405942369306	1	16384
13:33:17.214	28176	1405942397159	1405942397213	27	1405942369010	-74	-832	1405942369317	1405942369304	1	16384
13:33:17.482	28444	1405942397411	1405942397481	35	1405942369002	-74	-907	1405942369317	1405942369303	1	16384
13:33:17.717	28700	1405942397663	1405942397716	26	1405942368989	-74	-982	1405942369317	1405942369302	2	16384
13:33:17.970	28964	1405942397915	1405942397970	27	1405942368978	-74	-1057	1405942369317	1405942369301	2	16384
13:33:18.216	29228	1405942398166	1405942398215	24	1405942368962	-74	-1132	1405942369317	1405942369300	2	16384
13:33:18.488	29496	1405942398417	1405942398488	35	1405942368956	-74	-1207	1405942369317	1405942369299	2	16384
13:33:19.982	31076	1405942399922	1405942399981	29	1405942368875	-74	-1282	1405942369317	1405942369297	2	16384
13:33:20.221	31340	1405942400173	1405942400221	24	1405942368857	-74	-1357	1405942369317	1405942369296	2	16384
13:33:20.482	31604	1405942400425	1405942400481	28	1405942368849	-74	-1432	1405942369317	1405942369295	2	16384
13:33:20.739	31872	1405942400676	1405942400739	31	1405942368835	-74	-1507	1405942369317	1405942369294	2	16384
13:33:20.983	32128	1405942400927	1405942400982	27	1405942368826	-74	-1582	1405942369317	1405942369293	2	16384
13:33:21.242	32400	1405942401178	1405942401242	32	1405942368810	-74	-1657	1405942369317	1405942369292	2	16384
13:33:21.485	32656	1405942401429	1405942401484	27	1405942368800	-74	-1732	1405942369317	1405942369290	2	16384
13:33:21.746	32924	1405942401682	1405942401745	31	1405942368789	-74	-1807	1405942369317	1405942369289	3	32768
13:33:23.263	34508	1405942403187	1405942403262	37	1405942368716	-74	-1882	1405942369317	1405942369288	3	32768
13:33:23.493	34772	1405942403438	1405942403492	27	1405942368693	-74	-1957	1405942369317	1405942369287	3	32768
13:33:23.737	35028	1405942403690	1405942403736	23	1405942368685	-74	-2032	1405942369317	1405942369286	3	32768
13:33:23.998	35292	1405942403942	1405942403997	27	1405942368677	-74	-2107	1405942369317	1405942369285	3	32768
13:33:24.266	35560	1405942404193	1405942404266	36	1405942368669	-74	-2182	1405942369317	1405942369283	3	32768
13:33:24.497	35820	1405942404444	1405942404496	26	1405942368650	-74	-2257	1405942369317	1405942369282	3	32768
13:33:24.752	36088	1405942404696	1405942404751	27	1405942368635	-74	-2332	1405942369317	1405942369281	3	32768
13:33:24.996	36352	1405942404947	1405942404995	24	1405942368619	-74	-2407	1405942369317	1405942369280	3	32768
13:33:26.511	37936	1405942406450	1405942406510	30	1405942368544	-74	-2482	1405942369317	1405942369279	1	32768
13:33:26.757	38196	1405942406701	1405942406756	27	1405942368532	-74	-2557	1405942369317	1405942369278	1	32768
13:33:27.013	38468	1405942406956	1405942407012	28	1405942368516	-74	-2632	1405942369317	1405942369276	1	32768
13:33:27.258	38728	1405942407208	1405942407258	25	1405942368505	-74	-2707	1405942369317	1405942369275	1	32768
13:33:27.515	38996	1405942407460	1405942407515	27	1405942368491	-74	-2782	1405942369317	1405942369274	1	32768
13:33:27.773	39260	1405942407712	1405942407772	30	1405942368482	-74	-2857	1405942369317	1405942369273	1	32768
13:33:28.033	39524	1405942407963	1405942408032	34	1405942368473	-74	-2932	1405942369317	1405942369272	1	32768
13:33:28.271	39792	1405942408214	1405942408271	28	1405942368450	-74	-3007	1405942369317	1405942369271	1	32768
13:33:29.777	41368	1405942409718	1405942409777	29	1405942368379	-74	-3082	1405942369317	1405942369269	1	32768
13:33:34.039	13080	1405942413987	1405942414039	26	1405942400933	-74	-75	1405942401041	1405942401040	2	0
13:33:34.294	13348	1405942414238	1405942414293	27	1405942400917	-74	-150	1405942401041	1405942401039	2	0
13:33:34.553	13616	1405942414490	1405942414552	31	1405942400905	-74	-225	1405942401041	1405942401038	2	0
13:33:34.796	13880	1405942414742	1405942414795	26	1405942400888	-74	-300	1405942401041	1405942401037	2	0
13:33:36.303	15452	1405942416245	1405942416302	28	1405942400821	-74	-375	1405942401041	1405942401036	2	0
13:33:36.558	15720	1405942416497	1405942416557	30	1405942400807	-74	-450	1405942401041	1405942401034	2	0
13:33:36.803	15984	1405942416748	1405942416802	27	1405942400791	-74	-525	1405942401041	1405942401033	2	0
13:33:37.059	16252	1405942416999	1405942417059	30	1405942400777	-74	-600	1405942401041	1405942401032	2	0
13:33:37.319	16512	1405942417251	1405942417317	33	1405942400772	-74	-675	1405942401041	1405942401031	3	16384
13:33:37.561	16780	1405942417503	1405942417560	28	1405942400751	-74	-750	1405942401041	1405942401030	3	16384
13:33:37.819	17048	1405942417755	1405942417818	31	1405942400738	-74	-825	1405942401041	1405942401029	3	16384
13:33:38.067	17312	1405942418007	1405942418066	29	1405942400724	-74	-900	1405942401041	1405942401027	3	16384
13:33:39.572	18884	1405942419512	1405942419572	30	1405942400658	-74	-975	1405942401041	1405942401026	3	16384
13:33:39.816	19148	1405942419762	1405942419816	27	1405942400641	-74	-1050	1405942401041	1405942401025	3	16384
13:33:40.057	19412	1405942420014	1405942420056	21	1405942400623	-74	-1125	1405942401041	1405942401024	3	16384
13:33:40.317	19676	1405942420265	1405942420316	25	1405942400614	-74	-1200	1405942401041	1405942401023	3	16384
13:33:40.585	19944	1405942420516	1405942420585	34	1405942400606	-74	-1275	1405942401041	1405942401022	3	16384
13:33:40.816	20208	1405942420767	1405942420815	24	1405942400583	-74	-1350	1405942401041	1405942401020	3	16384
13:33:41.070	20476	1405942421019	1405942421070	25	1405942400568	-74	-1425	1405942401041	1405942401019	3	16384
13:33:41.318	20736	1405942421270	1405942421317	23	1405942400557	-74	-1500	1405942401041	1405942401018	1	16384
13:33:42.831	22320	1405942422774	1405942422830	28	1405942400482	-74	-1575	1405942401041	1405942401017	1	16384
13:33:43.074	22580	1405942423025	1405942423073	24	1405942400469	-74	-1650	1405942401041	1405942401016	1	16384
13:33:43.327	22852	1405942423276	1405942423327	25	1405942400449	-74	-1725	1405942401041	1405942401015	1	16384
13:33:43.576	23112	1405942423528	1405942423575	23	1405942400439	-74	-1800	1405942401041	1405942401013	1	16384
13:33:43.832	23380	1405942423779	1405942423831	26	1405942400425	-74	-1875	1405942401041	1405942401012	1	16384
13:33:44.077	23640	1405942424030	1405942424076	23	1405942400413	-74	-1950	1405942401041	1405942401011	1	16384
13:33:44.338	23904	1405942424281	1405942424337	28	1405942400405	-74	-2025	1405942401041	1405942401010	1	16384
13:33:44.580	24164	1405942424532	1405942424580	24	1405942400392	-74	-2100	1405942401041	1405942401009	1	16384
