Time	TS	TMT	TMR	SeqExp	SeqRcv
13:33:05.159	15812	1405942385097	1405942385159	1	1
13:33:06.454	712	1405942386392	1405942386454	2	3
13:33:06.470	724	1405942386392	1405942386470	3	3
13:33:06.720	988	1405942386657	1405942386720	4	4
13:33:06.985	1252	1405942386922	1405942386985	5	5
13:33:07.250	1516	1405942387188	1405942387250	6	6
13:33:07.515	1784	1405942387453	1405942387515	7	7
13:33:07.780	2048	1405942387718	1405942387780	8	8
13:33:08.046	2312	1405942387983	1405942388046	1	9
13:33:08.326	2576	1405942388248	1405942388326	0	0
13:33:08.576	2844	1405942388514	1405942388576	1	1
13:33:09.871	4132	1405942389809	1405942389871	2	3
13:33:09.887	4144	1405942389809	1405942389887	3	3
13:33:10.136	4408	1405942390074	1405942390136	4	4
13:33:10.401	4668	1405942390339	1405942390401	5	5
13:33:10.667	4936	1405942390604	1405942390667	6	6
13:33:10.932	5200	1405942390869	1405942390932	7	7
13:33:11.213	5464	1405942391135	1405942391213	8	8
13:33:11.478	5732	1405942391400	1405942391478	1	9
13:33:11.728	5996	1405942391665	1405942391728	0	0
13:33:11.936	6252	1405942391886	1405942391936	1	1
13:33:13.184	7552	1405942393142	1405942393184	2	3
13:33:13.199	7564	1405942393142	1405942393199	3	3
13:33:13.458	7836	1405942393393	1405942393458	4	4
13:33:13.701	8092	1405942393645	1405942393701	5	5
13:33:13.960	8360	1405942393897	1405942393960	6	6
13:33:14.202	8624	1405942394149	1405942394202	7	7
13:33:14.449	8888	1405942394401	1405942394449	8	8
13:33:14.702	9152	1405942394652	1405942394702	1	9
13:33:14.962	9416	1405942394903	1405942394962	0	0
13:33:15.216	9684	1405942395154	1405942395216	1	1
13:33:16.454	10984	1405942396406	1405942396454	2	3
13:33:16.469	10996	1405942396406	1405942396469	3	3
13:33:16.713	11260	1405942396657	1405942396713	4	4
13:33:16.953	11524	1405942396908	1405942396953	5	5
13:33:17.213	11792	1405942397159	1405942397213	6	6
13:33:17.481	12060	1405942397411	1405942397481	7	7
13:33:17.716	12316	1405942397663	1405942397716	8	8
13:33:17.970	12580	1405942397915	1405942397970	1	9
13:33:18.215	12844	1405942398166	1405942398215	0	0
13:33:18.488	13112	1405942398417	1405942398488	1	1
13:33:19.735	14416	1405942399670	1405942399735	2	3
13:33:19.749	14428	1405942399670	1405942399749	3	3
13:33:19.981	14692	1405942399922	1405942399981	4	4
13:33:20.221	14956	1405942400173	1405942400221	5	5
13:33:20.481	15220	1405942400425	1405942400481	6	6
13:33:20.739	15488	1405942400676	1405942400739	7	7
13:33:20.982	15744	1405942400927	1405942400982	8	8
13:33:21.242	16016	1405942401178	1405942401242	1	9
13:33:21.484	16272	1405942401429	1405942401484	0	0
13:33:21.745	156	1405942401682	1405942401745	1	1
13:33:22.973	1460	1405942402936	1405942402973	2	3
13:33:23.003	1472	1405942402936	1405942403003	3	3
13:33:23.262	1740	1405942403187	1405942403262	4	4
13:33:23.492	2004	1405942403438	1405942403492	5	5
13:33:23.736	2260	1405942403690	1405942403736	6	6
13:33:23.997	2524	1405942403942	1405942403997	7	7
13:33:24.266	2792	1405942404193	1405942404266	8	8
13:33:24.496	3052	1405942404444	1405942404496	1	9
13:33:24.751	3320	1405942404696	1405942404751	0	0
13:33:24.995	3584	1405942404947	1405942404995	1	1
13:33:26.241	4888	1405942406199	1405942406241	2	3
13:33:26.271	4900	1405942406199	1405942406271	3	3
13:33:26.510	5168	1405942406450	1405942406510	4	4
13:33:26.756	5428	1405942406701	1405942406756	5	5
13:33:27.012	5700	1405942406956	1405942407012	6	6
13:33:27.258	5960	1405942407208	1405942407258	7	7
13:33:27.515	6228	1405942407460	1405942407515	8	8
13:33:27.772	6492	1405942407712	1405942407772	1	9
13:33:28.032	6756	1405942407963	1405942408032	0	0
13:33:28.271	7024	1405942408214	1405942408271	1	1
13:33:29.506	8324	1405942409467	1405942409506	2	3
13:33:29.536	8336	1405942409467	1405942409536	3	3
13:33:29.777	8600	1405942409718	1405942409777	4	4
13:33:30.052	8860	1405942409969	1405942410052	5	5
13:33:30.280	9128	1405942410220	1405942410280	6	6
13:33:30.523	9388	1405942410471	1405942410523	7	7
13:33:30.771	9652	1405942410723	1405942410771	8	8
13:33:31.027	9916	1405942410973	1405942411027	1	9
13:33:31.273	10176	1405942411225	1405942411273	0	0
13:33:31.527	10444	1405942411477	1405942411527	1	1
13:33:32.779	11744	1405942412729	1405942412779	2	3
13:33:32.793	11760	1405942412729	1405942412793	3	3
13:33:33.038	12020	1405942412981	1405942413038	4	4
13:33:33.293	12288	1405942413232	1405942413293	5	5
13:33:33.538	12548	1405942413484	1405942413538	6	6
13:33:33.793	12820	1405942413735	1405942413793	7	7
13:33:34.039	13080	1405942413987	1405942414039	8	8
13:33:34.293	13348	1405942414238	1405942414293	1	9
13:33:34.552	13616	1405942414490	1405942414552	0	0
13:33:34.795	13880	1405942414742	1405942414795	1	1
13:33:36.055	15180	1405942415994	1405942416055	2	3
13:33:36.055	15192	1405942415994	1405942416055	3	3
13:33:36.302	15452	1405942416245	1405942416302	4	4
13:33:36.557	15720	1405942416497	1405942416557	5	5
13:33:36.802	15984	1405942416748	1405942416802	6	6
13:33:37.059	16252	1405942416999	1405942417059	7	7
13:33:37.317	128	1405942417251	1405942417317	8	8
13:33:37.560	396	1405942417503	1405942417560	1	9
13:33:37.818	664	1405942417755	1405942417818	0	0
13:33:38.066	928	1405942418007	1405942418066	1	1
13:33:39.312	2232	1405942419260	1405942419312	2	3
13:33:39.328	2240	1405942419260	1405942419328	3	3
13:33:39.572	2500	1405942419512	1405942419572	4	4
13:33:39.816	2764	1405942419762	1405942419816	5	5
13:33:40.056	3028	1405942420014	1405942420056	6	6
13:33:40.316	3292	1405942420265	1405942420316	7	7
13:33:40.585	3560	1405942420516	1405942420585	8	8
13:33:40.815	3824	1405942420767	1405942420815	1	9
13:33:41.070	4092	1405942421019	1405942421070	0	0
13:33:41.317	4352	1405942421270	1405942421317	1	1
13:33:42.561	5656	1405942422522	1405942422561	2	3
13:33:42.591	5668	1405942422522	1405942422591	3	3
13:33:42.830	5936	1405942422774	1405942422830	4	4
13:33:43.073	6196	1405942423025	1405942423073	5	5
13:33:43.327	6468	1405942423276	1405942423327	6	6
13:33:43.575	6728	1405942423528	1405942423575	7	7
13:33:43.831	6996	1405942423779	1405942423831	8	8
13:33:44.076	7256	1405942424030	1405942424076	1	9
13:33:44.337	7520	1405942424281	1405942424337	0	0
13:33:44.580	7780	1405942424532	1405942424580	1	1
13:33:45.833	9076	1405942425784	1405942425833	2	3
13:33:45.849	9088	1405942425784	1405942425849	3	3
13:33:46.092	9356	1405942426036	1405942426092	4	4
13:33:46.350	9616	1405942426288	1405942426350	5	5
13:33:46.594	9884	1405942426540	1405942426594	6	6
13:33:46.848	10152	1405942426791	1405942426848	7	7
13:33:47.094	10416	1405942427043	1405942427094	8	8
13:33:47.349	10680	1405942427294	1405942427349	1	9
13:33:47.612	10944	1405942427547	1405942427612	0	0
13:33:47.852	11208	1405942427799	1405942427852	1	1
13:33:49.101	12512	1405942429051	1405942429101	2	3
13:33:49.115	12528	1405942429051	1405942429115	3	3
13:33:49.349	12772	1405942429302	1405942429349	4	4
13:33:49.603	13048	1405942429552	1405942429603	5	5
13:33:49.850	13308	1405942429803	1405942429850	6	6
13:33:50.105	13576	1405942430055	1405942430105	7	7
13:33:50.352	13836	1405942430307	1405942430352	8	8
13:33:50.607	14100	1405942430558	1405942430607	1	9
13:33:50.870	14364	1405942430810	1405942430870	0	0
13:33:51.129	14628	1405942431061	1405942431129	1	1
13:33:52.360	15932	1405942432313	1405942432360	2	3
13:33:52.374	15944	1405942432313	1405942432374	3	3
13:33:52.619	16208	1405942432564	1405942432619	4	4
13:33:52.890	88	1405942432815	1405942432890	5	5
13:33:53.134	352	1405942433065	1405942433134	6	6
13:33:53.378	620	1405942433316	1405942433378	7	7
13:33:53.621	880	1405942433569	1405942433621	8	8
13:33:53.884	1144	1405942433820	1405942433884	1	9
13:33:54.122	1408	1405942434071	1405942434122	0	0
13:33:54.384	1672	1405942434323	1405942434384	1	1
13:33:55.631	2976	1405942435576	1405942435631	2	3
13:33:55.647	2992	1405942435576	1405942435647	3	3
13:33:55.888	3252	1405942435828	1405942435888	4	4
13:33:56.132	3512	1405942436078	1405942436132	5	5
13:33:56.385	3780	1405942436329	1405942436385	6	6
13:33:56.634	4044	1405942436580	1405942436634	7	7
13:33:56.889	4308	1405942436832	1405942436889	8	8
13:33:57.134	4572	1405942437083	1405942437134	1	9
13:33:57.392	4836	1405942437334	1405942437392	0	0
13:33:57.633	5100	1405942437585	1405942437633	1	1
13:33:58.879	6400	1405942438837	1405942438879	2	3
13:33:58.894	6416	1405942438837	1405942438894	3	3
13:33:59.149	6684	1405942439089	1405942439149	4	4
13:33:59.395	6940	1405942439340	1405942439395	5	5
13:33:59.649	7208	1405942439591	1405942439649	6	6
13:33:59.896	7472	1405942439842	1405942439896	7	7
13:34:00.152	7736	1405942440093	1405942440152	8	8
13:34:00.411	8000	1405942440345	1405942440411	1	9
13:34:00.659	8268	1405942440596	1405942440659	0	0
13:34:00.898	8524	1405942440847	1405942440898	1	1
13:34:02.156	9836	1405942442099	1405942442156	2	3
13:34:02.171	9852	1405942442099	1405942442171	3	3
13:34:02.415	10112	1405942442350	1405942442415	4	4
13:34:02.658	10372	1405942442601	1405942442658	5	5
13:34:02.954	10644	1405942442856	1405942442954	6	6
13:34:03.203	10900	1405942443141	1405942443203	7	7
13:34:03.484	11168	1405942443406	1405942443484	8	8
13:34:03.734	11432	1405942443671	1405942443734	1	9
13:34:04.030	11704	1405942443937	1405942444030	0	0
13:34:04.264	11960	1405942444202	1405942444264	1	1
13:34:05.559	13244	1405942445497	1405942445559	2	3
13:34:05.575	13260	1405942445497	1405942445575	3	3
13:34:05.824	13524	1405942445762	1405942445824	4	4
13:34:06.090	13788	1405942446027	1405942446090	5	5
13:34:06.355	14056	1405942446292	1405942446355	6	6
13:34:06.620	14320	1405942446558	1405942446620	7	7
13:34:06.901	14588	1405942446823	1405942446901	8	8
13:34:07.151	14852	1405942447088	1405942447151	1	9
13:34:07.416	15116	1405942447353	1405942447416	0	0
13:34:07.697	15380	1405942447619	1405942447697	1	1
13:34:08.991	280	1405942448913	1405942448991	2	3
13:34:08.991	292	1405942448913	1405942448991	3	3
13:34:09.241	552	1405942449179	1405942449241	4	4
13:34:09.538	820	1405942449444	1405942449538	5	5
13:34:09.772	1084	1405942449709	1405942449772	6	6
13:34:10.037	1348	1405942449974	1405942450037	7	7
13:34:10.318	1616	1405942450240	1405942450318	8	8
13:34:10.567	1884	1405942450505	1405942450567	1	9
13:34:10.848	2144	1405942450770	1405942450848	0	0
13:34:11.113	2412	1405942451035	1405942451113	1	1
13:34:12.408	3696	1405942452330	1405942452408	2	3
13:34:12.408	3708	1405942452330	1405942452408	3	3
13:34:12.658	3968	1405942452595	1405942452658	4	4
13:34:12.954	4240	1405942452861	1405942452954	5	5
13:34:13.188	4504	1405942453126	1405942453188	6	6
13:34:13.453	4756	1405942453391	1405942453453	7	7
13:34:13.719	5032	1405942453656	1405942453719	8	8
13:34:13.984	5296	1405942453921	1405942453984	1	9
13:34:14.265	5564	1405942454187	1405942454265	0	0
13:34:14.514	5828	1405942454452	1405942454514	1	1
13:34:15.809	7112	1405942455747	1405942455809	2	3
13:34:15.825	7124	1405942455747	1405942455825	3	3
13:34:16.074	7388	1405942456012	1405942456074	4	4
13:34:16.355	7652	1405942456277	1405942456355	5	5
13:34:16.605	7916	1405942456542	1405942456605	6	6
13:34:16.886	8188	1405942456808	1405942456886	7	7
13:34:17.151	8448	1405942457073	1405942457151	8	8
13:34:17.400	8712	1405942457338	1405942457400	1	9
13:34:17.681	8980	1405942457603	1405942457681	0	0
13:34:17.931	9244	1405942457868	1405942457931	1	1
13:34:19.226	10528	1405942459163	1405942459226	2	3
13:34:19.241	10540	1405942459163	1405942459241	3	3
13:34:19.491	10804	1405942459429	1405942459491	4	4
13:34:19.772	11068	1405942459694	1405942459772	5	5
13:34:20.021	11332	1405942459959	1405942460021	6	6
13:34:20.287	11596	1405942460224	1405942460287	7	7
13:34:20.552	11864	1405942460489	1405942460552	8	8
13:34:20.817	12128	1405942460755	1405942460817	1	9
13:34:21.082	12396	1405942461020	1405942461082	0	0
13:34:21.348	12660	1405942461285	1405942461348	1	1
13:34:22.658	13948	1405942462580	1405942462658	2	3
13:34:22.658	13960	1405942462580	1405942462658	3	3
13:34:22.908	14220	1405942462845	1405942462908	4	4
13:34:23.173	14484	1405942463110	1405942463173	5	5
13:34:23.438	14748	1405942463376	1405942463438	6	6
13:34:23.688	15016	1405942463641	1405942463688	7	7
13:34:23.969	15280	1405942463906	1405942463969	8	8
13:34:24.234	15544	1405942464171	1405942464234	1	9
13:34:24.515	15812	1405942464437	1405942464515	0	0
13:34:24.764	16076	1405942464702	1405942464764	1	1
13:34:26.059	976	1405942465997	1405942466059	2	3
13:34:26.075	992	1405942465997	1405942466075	3	3
13:34:26.324	1256	1405942466262	1405942466324	4	4
13:34:26.590	1520	1405942466527	1405942466590	5	5
13:34:26.855	1784	1405942466792	1405942466855	6	6
13:34:27.104	2048	1405942467058	1405942467104	7	7
13:34:27.385	2312	1405942467323	1405942467385	8	8
13:34:27.650	2576	1405942467588	1405942467650	1	9
13:34:27.916	2844	1405942467853	1405942467916	0	0
13:34:28.181	3112	1405942468118	1405942468181	1	1
13:34:29.460	4392	1405942469413	1405942469460	2	3
13:34:29.491	4404	1405942469413	1405942469491	3	3
13:34:29.741	4668	1405942469679	1405942469741	4	4
13:34:30.006	4932	1405942469944	1405942470006	5	5
13:34:30.271	5200	1405942470209	1405942470271	6	6
13:34:30.537	5464	1405942470474	1405942470537	7	7
13:34:30.802	5728	1405942470739	1405942470802	8	8
13:34:31.067	5996	1405942471005	1405942471067	1	9
13:34:31.348	6260	1405942471270	1405942471348	0	0
13:34:31.597	6524	1405942471535	1405942471597	1	1
13:34:32.877	7808	1405942472830	1405942472877	2	3
13:34:32.908	7820	1405942472830	1405942472908	3	3
13:34:33.158	8088	1405942473095	1405942473158	4	4
13:34:33.438	8348	1405942473360	1405942473438	5	5
13:34:33.688	8616	1405942473626	1405942473688	6	6
13:34:33.953	8872	1405942473891	1405942473953	7	7
13:34:34.218	9144	1405942474156	1405942474218	8	8
13:34:34.468	9412	1405942474421	1405942474468	1	9
13:34:34.764	9676	1405942474686	1405942474764	0	0
13:34:35.014	9940	1405942474952	1405942475014	1	1
13:34:36.309	11228	1405942476247	1405942476309	2	3
13:34:36.340	11252	1405942476247	1405942476340	3	3
13:34:36.574	11504	1405942476512	1405942476574	4	4
13:34:36.839	11768	1405942476777	1405942476839	5	5
13:34:37.105	12036	1405942477042	1405942477105	6	6
13:34:37.385	12300	1405942477307	1405942477385	7	7
13:34:37.635	12564	1405942477573	1405942477635	8	8
13:34:37.916	12828	1405942477838	1405942477916	1	9
13:34:38.166	13092	1405942478103	1405942478166	0	0
13:34:38.431	13356	1405942478368	1405942478431	1	1
13:34:39.710	14644	1405942479663	1405942479710	2	3
13:34:39.741	14660	1405942479663	1405942479741	3	3
13:34:39.991	14908	1405942479928	1405942479991	4	4
13:34:40.256	15184	1405942480194	1405942480256	5	5
13:34:40.521	15448	1405942480459	1405942480521	6	6
13:34:40.787	15716	1405942480724	1405942480787	7	7
13:34:41.052	15976	1405942480989	1405942481052	8	8
13:34:41.333	16244	1405942481255	1405942481333	1	9
13:34:41.598	124	1405942481520	1405942481598	0	0
13:34:41.847	392	1405942481785	1405942481847	1	1
13:34:43.142	1676	1405942483080	1405942483142	2	3
13:34:43.158	1692	1405942483080	1405942483158	3	3
13:34:43.423	1956	1405942483345	1405942483423	4	4
