Time	TS	TMT	TMR	delay	offs	error	errorSum	zeroOffset	regOffsMs	phase	tsOffset
12:56:50.691	45096	1405940210660	1405940210691	15	1405940165579	22	1979	1405940165527	1405940165557	2	32768
12:56:50.957	45360	1405940210926	1405940210957	15	1405940165581	24	2002	1405940165527	1405940165558	2	32768
12:56:51.223	45624	1405940211191	1405940211223	16	1405940165583	25	2026	1405940165527	1405940165558	2	32768
12:56:51.488	45892	1405940211457	1405940211488	15	1405940165580	22	2047	1405940165527	1405940165558	2	32768
12:56:51.754	46156	1405940211722	1405940211754	16	1405940165582	24	2070	1405940165527	1405940165559	2	32768
12:56:52.019	46420	1405940211988	1405940212019	15	1405940165583	24	2093	1405940165527	1405940165559	2	32768
12:56:52.285	46684	1405940212254	1405940212285	15	1405940165585	26	2118	1405940165527	1405940165560	2	32768
12:56:52.550	46952	1405940212519	1405940212535	8	1405940165575	15	2132	1405940165527	1405940165560	2	32768
12:56:52.816	47216	1405940212785	1405940212816	15	1405940165584	24	2155	1405940165527	1405940165560	2	32768
12:56:53.082	47484	1405940213050	1405940213082	16	1405940165582	22	2176	1405940165527	1405940165561	2	32768
12:56:53.347	47748	1405940213316	1405940213347	15	1405940165583	22	2197	1405940165527	1405940165561	2	32768
12:56:53.613	48012	1405940213582	1405940213613	15	1405940165585	24	2220	1405940165527	1405940165561	2	32768
12:56:53.878	48276	1405940213847	1405940213878	15	1405940165586	25	2244	1405940165527	1405940165562	2	32768
12:56:54.144	48540	1405940214113	1405940214128	7	1405940165580	18	2261	1405940165527	1405940165562	2	32768
12:56:54.410	48808	1405940214378	1405940214410	16	1405940165586	24	2284	1405940165527	1405940165562	2	32768
12:56:54.675	49072	1405940214644	1405940214675	15	1405940165587	25	2308	1405940165527	1405940165563	2	32768
12:56:54.941	49336	1405940214910	1405940214941	15	1405940165589	26	2333	1405940165527	1405940165563	3	49152
12:56:55.206	49604	1405940215175	1405940215206	15	1405940165586	23	2355	1405940165527	1405940165563	3	49152
12:56:55.472	49868	1405940215441	1405940215472	15	1405940165588	25	2379	1405940165527	1405940165564	3	49152
12:56:55.738	50140	1405940215706	1405940215738	16	1405940165582	18	2396	1405940165527	1405940165564	3	49152
12:56:56.003	50400	1405940215972	1405940216003	15	1405940165587	23	2418	1405940165527	1405940165564	3	49152
12:56:56.269	50664	1405940216237	1405940216269	16	1405940165589	25	2442	1405940165527	1405940165565	3	49152
12:56:56.534	50928	1405940216503	1405940216534	15	1405940165590	25	2466	1405940165527	1405940165565	3	49152
12:56:56.800	51196	1405940216769	1405940216800	15	1405940165588	23	2488	1405940165527	1405940165565	3	49152
12:56:57.065	51460	1405940217034	1405940217065	15	1405940165589	24	2511	1405940165527	1405940165566	3	49152
12:56:57.331	51724	1405940217300	1405940217331	15	1405940165591	25	2535	1405940165527	1405940165566	3	49152
12:56:57.597	51988	1405940217565	1405940217597	16	1405940165593	27	2561	1405940165527	1405940165567	3	49152
12:56:57.862	52256	1405940217831	1405940217862	15	1405940165590	23	2583	1405940165527	1405940165567	3	49152
12:56:58.128	52520	1405940218097	1405940218128	15	1405940165592	25	2607	1405940165527	1405940165567	3	49152
12:56:58.393	52788	1405940218362	1405940218393	15	1405940165589	22	2628	1405940165527	1405940165568	3	49152
12:56:58.659	53052	1405940218628	1405940218659	15	1405940165591	23	2650	1405940165527	1405940165568	3	49152
12:56:58.925	53316	1405940218893	1405940218925	16	1405940165593	25	2674	1405940165527	1405940165568	1	49152
12:56:59.190	53584	1405940219159	1405940219190	15	1405940165590	22	2695	1405940165527	1405940165569	1	49152
12:56:59.456	53844	1405940219425	1405940219456	15	1405940165596	27	2721	1405940165527	1405940165569	1	49152
12:56:59.721	54112	1405940219690	1405940219721	15	1405940165593	24	2744	1405940165527	1405940165569	1	49152
12:56:59.987	54376	1405940219956	1405940219987	15	1405940165595	26	2769	1405940165527	1405940165570	1	49152
12:57:00.253	54644	1405940220221	1405940220253	16	1405940165593	23	2791	1405940165527	1405940165570	1	49152
12:57:00.518	54908	1405940220487	1405940220518	15	1405940165594	24	2814	1405940165527	1405940165570	1	49152
12:57:00.784	55172	1405940220752	1405940220784	16	1405940165596	26	2839	1405940165527	1405940165571	1	49152
12:57:01.049	55436	1405940221018	1405940221049	15	1405940165597	26	2864	1405940165527	1405940165571	1	49152
12:57:01.315	55704	1405940221284	1405940221315	15	1405940165595	24	2887	1405940165527	1405940165572	1	49152
12:57:01.580	55968	1405940221549	1405940221580	15	1405940165596	24	2910	1405940165527	1405940165572	1	49152
12:57:01.846	56232	1405940221815	1405940221846	15	1405940165598	26	2935	1405940165527	1405940165572	1	49152
12:57:02.112	56496	1405940222080	1405940222112	16	1405940165600	28	2962	1405940165527	1405940165573	1	49152
12:57:02.377	56764	1405940222346	1405940222377	15	1405940165597	24	2985	1405940165527	1405940165573	1	49152
12:57:02.643	57028	1405940222612	1405940222643	15	1405940165599	26	3010	1405940165527	1405940165574	1	49152
12:57:02.908	57300	1405940222877	1405940222908	15	1405940165592	18	3027	1405940165527	1405940165574	1	49152
12:57:03.174	57560	1405940223143	1405940223174	15	1405940165598	24	3050	1405940165527	1405940165574	1	49152
12:57:03.440	57824	1405940223408	1405940223440	16	1405940165600	26	3075	1405940165527	1405940165575	1	49152
12:57:03.705	58088	1405940223674	1405940223705	15	1405940165601	26	3100	1405940165527	1405940165575	1	49152
12:57:03.971	58356	1405940223939	1405940223971	16	1405940165599	24	3123	1405940165527	1405940165575	1	49152
12:57:04.236	58620	1405940224205	1405940224236	15	1405940165600	25	3147	1405940165527	1405940165576	1	49152
12:57:04.502	58884	1405940224471	1405940224502	15	1405940165602	26	3172	1405940165527	1405940165576	1	49152
12:57:04.767	59152	1405940224736	1405940224767	15	1405940165599	23	3194	1405940165527	1405940165576	1	49152
12:57:05.033	59416	1405940225002	1405940225033	15	1405940165601	25	3218	1405940165527	1405940165577	1	49152
12:57:05.299	59680	1405940225267	1405940225299	16	1405940165603	26	3243	1405940165527	1405940165577	1	49152
12:57:05.564	59944	1405940225533	1405940225564	15	1405940165604	27	3269	1405940165527	1405940165578	1	49152
12:57:05.830	60212	1405940225799	1405940225830	15	1405940165602	24	3292	1405940165527	1405940165578	1	49152
12:57:06.095	60484	1405940226064	1405940226095	15	1405940165595	17	3308	1405940165527	1405940165578	1	49152
12:57:06.361	60740	1405940226330	1405940226361	15	1405940165605	27	3334	1405940165527	1405940165579	1	49152
12:57:06.627	61008	1405940226595	1405940226627	16	1405940165603	24	3357	1405940165527	1405940165579	1	49152
12:57:06.892	61272	1405940226861	1405940226892	15	1405940165604	25	3381	1405940165527	1405940165579	1	49152
12:57:07.158	61540	1405940227127	1405940227158	15	1405940165602	23	3403	1405940165527	1405940165580	2	49152
12:57:07.423	61804	1405940227392	1405940227423	15	1405940165603	23	3425	1405940165527	1405940165580	2	49152
12:57:07.689	62068	1405940227658	1405940227689	15	1405940165605	25	3449	1405940165527	1405940165580	2	49152
12:57:07.955	62336	1405940227923	1405940227955	16	1405940165603	23	3471	1405940165527	1405940165581	2	49152
12:57:08.220	62604	1405940228189	1405940228220	15	1405940165600	19	3489	1405940165527	1405940165581	2	49152
12:57:08.486	62864	1405940228454	1405940228486	16	1405940165606	25	3513	1405940165527	1405940165581	2	49152
12:57:08.751	63128	1405940228720	1405940228751	15	1405940165607	26	3538	1405940165527	1405940165582	2	49152
12:57:09.017	63392	1405940228986	1405940229017	15	1405940165609	27	3564	1405940165527	1405940165582	2	49152
12:57:09.282	63664	1405940229251	1405940229282	15	1405940165602	20	3583	1405940165527	1405940165582	2	49152
12:57:09.548	63924	1405940229517	1405940229548	15	1405940165608	26	3608	1405940165527	1405940165583	2	49152
12:57:09.814	64188	1405940229782	1405940229814	16	1405940165610	27	3634	1405940165527	1405940165583	2	49152
12:57:10.079	64456	1405940230048	1405940230079	15	1405940165607	24	3657	1405940165527	1405940165584	2	49152
12:57:10.345	64724	1405940230314	1405940230345	15	1405940165605	21	3677	1405940165527	1405940165584	2	49152
12:57:10.595	64984	1405940230579	1405940230595	8	1405940165603	19	3695	1405940165527	1405940165584	2	49152
12:57:10.892	65252	1405940230845	1405940230892	23	1405940165616	32	3726	1405940165527	1405940165585	2	49152
12:57:11.142	65516	1405940231110	1405940231142	16	1405940165610	25	3750	1405940165527	1405940165585	2	49152
12:57:11.407	65780	1405940231376	1405940231407	15	1405940165611	26	3775	1405940165527	1405940165585	3	65536
12:57:11.673	66048	1405940231642	1405940231673	15	1405940165609	24	3798	1405940165527	1405940165586	3	65536
12:57:11.938	66316	1405940231907	1405940231938	15	1405940165606	20	3817	1405940165527	1405940165586	3	65536
12:57:12.204	66576	1405940232173	1405940232204	15	1405940165612	26	3842	1405940165527	1405940165587	3	65536
12:57:12.470	66840	1405940232438	1405940232470	16	1405940165614	27	3868	1405940165527	1405940165587	3	65536
12:57:12.735	67108	1405940232704	1405940232735	15	1405940165611	24	3891	1405940165527	1405940165587	3	65536
12:57:13.001	67372	1405940232969	1405940233001	16	1405940165613	26	3916	1405940165527	1405940165588	3	65536
12:57:13.266	67644	1405940233235	1405940233266	15	1405940165606	18	3933	1405940165527	1405940165588	3	65536
12:57:13.532	67900	1405940233501	1405940233532	15	1405940165616	28	3960	1405940165527	1405940165588	3	65536
12:57:13.797	68168	1405940233766	1405940233797	15	1405940165613	25	3984	1405940165527	1405940165589	3	65536
12:57:14.063	68444	1405940234032	1405940234063	15	1405940165603	14	3997	1405940165527	1405940165589	3	65536
12:57:14.329	68696	1405940234297	1405940234329	16	1405940165617	28	4024	1405940165527	1405940165589	3	65536
