Time	TS	TMT	TMR	SeqExp	SeqRcv
12:56:50.691	12328	1405940210660	1405940210691	1	9
12:56:50.957	12592	1405940210926	1405940210957	0	0
12:56:51.223	12856	1405940211191	1405940211223	1	1
12:56:51.488	13124	1405940211457	1405940211488	2	2
12:56:51.754	13388	1405940211722	1405940211754	3	3
12:56:52.019	13652	1405940211988	1405940212019	4	4
12:56:52.285	13916	1405940212254	1405940212285	5	5
12:56:52.535	14184	1405940212519	1405940212535	6	6
12:56:52.816	14448	1405940212785	1405940212816	7	7
12:56:53.082	14716	1405940213050	1405940213082	8	8
12:56:53.347	14980	1405940213316	1405940213347	1	9
12:56:53.613	15244	1405940213582	1405940213613	0	0
12:56:53.878	15508	1405940213847	1405940213878	1	1
12:56:54.144	15772	1405940214113	1405940214128	2	2
12:56:54.410	16040	1405940214378	1405940214410	3	3
12:56:54.675	16304	1405940214644	1405940214675	4	4
12:56:54.941	184	1405940214910	1405940214941	5	5
12:56:55.206	452	1405940215175	1405940215206	6	6
12:56:55.472	716	1405940215441	1405940215472	7	7
12:56:55.738	988	1405940215706	1405940215738	8	8
12:56:56.003	1248	1405940215972	1405940216003	1	9
12:56:56.269	1512	1405940216237	1405940216269	0	0
12:56:56.534	1776	1405940216503	1405940216534	1	1
12:56:56.800	2044	1405940216769	1405940216800	2	2
12:56:57.065	2308	1405940217034	1405940217065	3	3
12:56:57.331	2572	1405940217300	1405940217331	4	4
12:56:57.597	2836	1405940217565	1405940217597	5	5
12:56:57.862	3104	1405940217831	1405940217862	6	6
12:56:58.128	3368	1405940218097	1405940218128	7	7
12:56:58.393	3636	1405940218362	1405940218393	8	8
12:56:58.659	3900	1405940218628	1405940218659	1	9
12:56:58.925	4164	1405940218893	1405940218925	0	0
12:56:59.190	4432	1405940219159	1405940219190	1	1
12:56:59.456	4692	1405940219425	1405940219456	2	2
12:56:59.721	4960	1405940219690	1405940219721	3	3
12:56:59.987	5224	1405940219956	1405940219987	4	4
12:57:00.253	5492	1405940220221	1405940220253	5	5
12:57:00.518	5756	1405940220487	1405940220518	6	6
12:57:00.784	6020	1405940220752	1405940220784	7	7
12:57:01.049	6284	1405940221018	1405940221049	8	8
12:57:01.315	6552	1405940221284	1405940221315	1	9
12:57:01.580	6816	1405940221549	1405940221580	0	0
12:57:01.846	7080	1405940221815	1405940221846	1	1
12:57:02.112	7344	1405940222080	1405940222112	2	2
12:57:02.377	7612	1405940222346	1405940222377	3	3
12:57:02.643	7876	1405940222612	1405940222643	4	4
12:57:02.908	8148	1405940222877	1405940222908	5	5
12:57:03.174	8408	1405940223143	1405940223174	6	6
12:57:03.440	8672	1405940223408	1405940223440	7	7
12:57:03.705	8936	1405940223674	1405940223705	8	8
12:57:03.971	9204	1405940223939	1405940223971	1	9
12:57:04.236	9468	1405940224205	1405940224236	0	0
12:57:04.502	9732	1405940224471	1405940224502	1	1
12:57:04.767	10000	1405940224736	1405940224767	2	2
12:57:05.033	10264	1405940225002	1405940225033	3	3
12:57:05.299	10528	1405940225267	1405940225299	4	4
12:57:05.564	10792	1405940225533	1405940225564	5	5
12:57:05.830	11060	1405940225799	1405940225830	6	6
12:57:06.095	11332	1405940226064	1405940226095	7	7
12:57:06.361	11588	1405940226330	1405940226361	8	8
12:57:06.627	11856	1405940226595	1405940226627	1	9
12:57:06.892	12120	1405940226861	1405940226892	0	0
12:57:07.158	12388	1405940227127	1405940227158	1	1
12:57:07.423	12652	1405940227392	1405940227423	2	2
12:57:07.689	12916	1405940227658	1405940227689	3	3
12:57:07.955	13184	1405940227923	1405940227955	4	4
12:57:08.220	13452	1405940228189	1405940228220	5	5
12:57:08.486	13712	1405940228454	1405940228486	6	6
12:57:08.751	13976	1405940228720	1405940228751	7	7
12:57:09.017	14240	1405940228986	1405940229017	8	8
12:57:09.282	14512	1405940229251	1405940229282	1	9
12:57:09.548	14772	1405940229517	1405940229548	0	0
12:57:09.814	15036	1405940229782	1405940229814	1	1
12:57:10.079	15304	1405940230048	1405940230079	2	2
12:57:10.345	15572	1405940230314	1405940230345	3	3
12:57:10.595	15832	1405940230579	1405940230595	4	4
12:57:10.892	16100	1405940230845	1405940230892	5	5
12:57:11.142	16364	1405940231110	1405940231142	6	6
