Time	TS	TMT	TMR	delay	offs	error	errorSum	zeroOffset	regOffsMs	phase	tsOffset
10:12:57.750	16084	1405671177720	1405671177750	15	1405671161651	-34	-242	1405671161688	1405671161685	2	0
10:12:58.004	16340	1405671177972	1405671178003	15	1405671161647	-38	-281	1405671161688	1405671161684	2	0
10:12:58.254	16592	1405671178222	1405671178253	15	1405671161645	-39	-321	1405671161688	1405671161683	3	16384
10:12:58.502	16848	1405671178472	1405671178502	15	1405671161639	-44	-366	1405671161688	1405671161683	3	16384
10:12:58.754	17104	1405671178722	1405671178754	16	1405671161634	-49	-416	1405671161688	1405671161682	3	16384
10:12:59.000	17352	1405671178972	1405671179000	14	1405671161634	-48	-465	1405671161688	1405671161681	3	16384
10:12:59.251	17608	1405671179222	1405671179251	14	1405671161628	-53	-519	1405671161688	1405671161680	3	16384
10:12:59.504	17864	1405671179472	1405671179503	15	1405671161623	-57	-577	1405671161688	1405671161679	3	16384
10:12:59.754	18120	1405671179722	1405671179754	16	1405671161618	-61	-639	1405671161688	1405671161679	3	16384
10:12:59.997	18372	1405671179972	1405671179997	12	1405671161612	-67	-707	1405671161688	1405671161677	3	16384
10:13:00.251	18628	1405671180222	1405671180251	14	1405671161608	-69	-777	1405671161688	1405671161676	3	16384
10:13:00.500	18888	1405671180473	1405671180499	13	1405671161598	-74	-852	1405671161688	1405671161675	3	16384
10:13:00.755	19144	1405671180723	1405671180754	15	1405671161594	-74	-927	1405671161688	1405671161674	3	16384
10:13:01.002	19400	1405671180973	1405671181001	14	1405671161587	-74	-1002	1405671161688	1405671161673	3	16384
10:13:01.253	19656	1405671181223	1405671181253	15	1405671161582	-74	-1077	1405671161688	1405671161672	3	16384
10:13:01.500	19912	1405671181473	1405671181500	13	1405671161574	-74	-1152	1405671161688	1405671161670	3	16384
10:13:01.756	20164	1405671181723	1405671181756	16	1405671161575	-74	-1227	1405671161688	1405671161669	3	16384
10:13:01.998	20420	1405671181973	1405671181998	12	1405671161565	-74	-1302	1405671161688	1405671161668	3	16384
10:13:02.250	20676	1405671182222	1405671182249	13	1405671161559	-74	-1377	1405671161688	1405671161667	1	16384
10:13:02.499	20940	1405671182472	1405671182498	13	1405671161545	-74	-1452	1405671161688	1405671161666	1	16384
10:13:02.752	21188	1405671182722	1405671182752	15	1405671161549	-74	-1527	1405671161688	1405671161665	1	16384
10:13:03.000	21444	1405671182972	1405671182999	13	1405671161541	-74	-1602	1405671161688	1405671161663	1	16384
10:13:03.257	21708	1405671183222	1405671183257	17	1405671161531	-74	-1677	1405671161688	1405671161662	1	16384
10:13:03.504	21960	1405671183472	1405671183504	16	1405671161528	-74	-1752	1405671161688	1405671161661	1	16384
10:13:03.750	22216	1405671183722	1405671183749	13	1405671161519	-74	-1827	1405671161688	1405671161660	1	16384
10:13:04.003	22472	1405671183972	1405671184002	15	1405671161515	-74	-1902	1405671161688	1405671161659	1	16384
10:13:04.254	22728	1405671184222	1405671184254	16	1405671161510	-74	-1977	1405671161688	1405671161658	1	16384
10:13:04.500	22980	1405671184472	1405671184500	14	1405671161506	-74	-2052	1405671161688	1405671161656	1	16384
10:13:04.754	23240	1405671184722	1405671184753	15	1405671161497	-74	-2127	1405671161688	1405671161655	1	16384
10:13:05.002	23504	1405671184973	1405671185001	14	1405671161483	-74	-2202	1405671161688	1405671161654	1	16384
10:13:05.253	23752	1405671185223	1405671185252	14	1405671161485	-74	-2277	1405671161688	1405671161653	1	16384
10:13:05.502	24008	1405671185473	1405671185501	14	1405671161479	-74	-2352	1405671161688	1405671161652	1	16384
10:13:05.753	24264	1405671185723	1405671185753	15	1405671161474	-74	-2427	1405671161688	1405671161651	1	16384
10:13:06.004	24524	1405671185973	1405671186003	15	1405671161464	-74	-2502	1405671161688	1405671161649	1	16384
10:13:06.253	24776	1405671186223	1405671186252	14	1405671161461	-74	-2577	1405671161688	1405671161648	1	16384
10:13:06.503	25032	1405671186473	1405671186503	15	1405671161456	-74	-2652	1405671161688	1405671161647	1	16384
10:13:06.752	25292	1405671186723	1405671186752	14	1405671161445	-74	-2727	1405671161688	1405671161646	1	16384
10:13:07.000	25548	1405671186973	1405671187000	13	1405671161438	-74	-2802	1405671161688	1405671161645	1	16384
10:13:07.250	25804	1405671187222	1405671187250	14	1405671161432	-74	-2877	1405671161688	1405671161644	1	16384
10:13:07.503	26060	1405671187472	1405671187502	15	1405671161427	-74	-2952	1405671161688	1405671161642	1	16384
10:13:07.752	26316	1405671187722	1405671187751	14	1405671161420	-74	-3027	1405671161688	1405671161641	1	16384
10:13:07.999	26572	1405671187972	1405671187999	13	1405671161413	-74	-3102	1405671161688	1405671161640	1	16384
10:13:08.250	26828	1405671188222	1405671188249	13	1405671161407	-74	-3177	1405671161688	1405671161639	1	16384
10:13:08.503	27092	1405671188472	1405671188502	15	1405671161395	-74	-3252	1405671161688	1405671161638	1	16384
10:13:08.750	27344	1405671188722	1405671188749	13	1405671161391	-74	-3327	1405671161688	1405671161637	1	16384
10:13:08.998	27600	1405671188972	1405671188998	13	1405671161385	-74	-3402	1405671161688	1405671161635	1	16384
10:13:09.254	27856	1405671189222	1405671189254	16	1405671161382	-74	-3477	1405671161688	1405671161634	1	16384
