Time	TS	TMT	TMR	SeqExp	SeqRcv
10:12:57.750	16084	1405671177720	1405671177750	1	9
10:12:58.003	16340	1405671177972	1405671178003	0	0
10:12:58.253	208	1405671178222	1405671178253	1	1
10:12:58.502	464	1405671178472	1405671178502	2	2
10:12:58.754	720	1405671178722	1405671178754	3	3
10:12:59.000	968	1405671178972	1405671179000	4	4
10:12:59.251	1224	1405671179222	1405671179251	5	5
10:12:59.503	1480	1405671179472	1405671179503	6	6
10:12:59.754	1736	1405671179722	1405671179754	7	7
10:12:59.997	1988	1405671179972	1405671179997	8	8
10:13:00.251	2244	1405671180222	1405671180251	1	9
10:13:00.499	2504	1405671180473	1405671180499	0	0
10:13:00.754	2760	1405671180723	1405671180754	1	1
10:13:01.001	3016	1405671180973	1405671181001	2	2
10:13:01.253	3272	1405671181223	1405671181253	3	3
10:13:01.500	3528	1405671181473	1405671181500	4	4
10:13:01.756	3780	1405671181723	1405671181756	5	5
10:13:01.998	4036	1405671181973	1405671181998	6	6
10:13:02.249	4292	1405671182222	1405671182249	7	7
10:13:02.498	4556	1405671182472	1405671182498	8	8
10:13:02.752	4804	1405671182722	1405671182752	1	9
10:13:02.999	5060	1405671182972	1405671182999	0	0
10:13:03.257	5324	1405671183222	1405671183257	1	1
10:13:03.504	5576	1405671183472	1405671183504	2	2
10:13:03.749	5832	1405671183722	1405671183749	3	3
10:13:04.002	6088	1405671183972	1405671184002	4	4
10:13:04.254	6344	1405671184222	1405671184254	5	5
10:13:04.500	6596	1405671184472	1405671184500	6	6
10:13:04.753	6856	1405671184722	1405671184753	7	7
10:13:05.001	7120	1405671184973	1405671185001	8	8
10:13:05.252	7368	1405671185223	1405671185252	1	9
10:13:05.501	7624	1405671185473	1405671185501	0	0
10:13:05.753	7880	1405671185723	1405671185753	1	1
10:13:06.003	8140	1405671185973	1405671186003	2	2
10:13:06.252	8392	1405671186223	1405671186252	3	3
10:13:06.503	8648	1405671186473	1405671186503	4	4
10:13:06.752	8908	1405671186723	1405671186752	5	5
10:13:07.000	9164	1405671186973	1405671187000	6	6
10:13:07.250	9420	1405671187222	1405671187250	7	7
10:13:07.502	9676	1405671187472	1405671187502	8	8
10:13:07.751	9932	1405671187722	1405671187751	1	9
10:13:07.999	10188	1405671187972	1405671187999	0	0
10:13:08.249	10444	1405671188222	1405671188249	1	1
10:13:08.502	10708	1405671188472	1405671188502	2	2
10:13:08.749	10960	1405671188722	1405671188749	3	3
10:13:08.998	11216	1405671188972	1405671188998	4	4
10:13:09.254	11472	1405671189222	1405671189254	5	5
10:13:09.503	11724	1405671189472	1405671189503	6	6
10:13:09.753	11984	1405671189723	1405671189752	7	7
10:13:10.001	12236	1405671189973	1405671190001	8	8
10:13:10.255	12496	1405671190223	1405671190255	1	9
10:13:10.502	12748	1405671190473	1405671190502	0	0
10:13:10.752	13004	1405671190723	1405671190752	1	1
10:13:11.003	13260	1405671190973	1405671191003	2	2
10:13:11.255	13516	1405671191223	1405671191255	3	3
10:13:11.502	13768	1405671191473	1405671191502	4	4
10:13:11.753	14020	1405671191723	1405671191753	5	5
10:13:12.005	14272	1405671191973	1405671192005	6	6
10:13:12.258	14528	1405671192223	1405671192258	7	7
10:13:12.502	14780	1405671192473	1405671192502	8	8
10:13:12.749	15032	1405671192723	1405671192749	1	9
10:13:13.002	15292	1405671192973	1405671193002	0	0
10:13:13.253	15540	1405671193223	1405671193253	1	1
10:13:13.502	15792	1405671193473	1405671193502	2	2
10:13:13.753	16048	1405671193723	1405671193753	3	3
10:13:14.003	16300	1405671193973	1405671194003	4	4
10:13:14.257	172	1405671194225	1405671194257	5	5
10:13:14.506	428	1405671194476	1405671194506	6	6
10:13:14.757	680	1405671194726	1405671194757	7	7
10:13:15.008	936	1405671194976	1405671195008	8	8
10:13:15.258	1188	1405671195226	1405671195258	1	9
10:13:15.505	1440	1405671195476	1405671195505	0	0
10:13:15.757	1696	1405671195726	1405671195757	1	1
10:13:16.003	1952	1405671195976	1405671196003	2	2
10:13:16.254	2208	1405671196226	1405671196254	3	3
10:13:16.507	2460	1405671196476	1405671196507	4	4
10:13:16.756	2716	1405671196728	1405671196756	5	5
10:13:17.005	2976	1405671196978	1405671197005	6	6
10:13:17.255	3232	1405671197227	1405671197255	7	7
10:13:17.509	3488	1405671197477	1405671197509	8	8
10:13:17.753	3744	1405671197727	1405671197753	1	9
10:13:18.004	4000	1405671197977	1405671198004	0	0
10:13:18.258	4256	1405671198228	1405671198258	1	1
10:13:18.506	4516	1405671198478	1405671198506	2	2
10:13:18.755	4768	1405671198728	1405671198755	3	3
10:13:19.007	5028	1405671198980	1405671199007	4	4
10:13:19.257	5284	1405671199230	1405671199257	5	5
10:13:19.510	5544	1405671199480	1405671199510	6	6
10:13:19.770	5804	1405671199730	1405671199770	7	7
10:13:20.013	6056	1405671199980	1405671200013	8	8
10:13:20.258	6308	1405671200230	1405671200258	1	9
10:13:20.507	6564	1405671200480	1405671200507	0	0
10:13:20.756	6820	1405671200730	1405671200756	1	1
10:13:21.010	7080	1405671200982	1405671201010	2	2
10:13:21.264	7336	1405671201232	1405671201264	3	3
10:13:21.509	7592	1405671201482	1405671201509	4	4
10:13:21.763	7852	1405671201732	1405671201763	5	5
10:13:22.011	8104	1405671201982	1405671202011	6	6
10:13:22.259	8360	1405671202231	1405671202259	7	7
10:13:22.508	8616	1405671202481	1405671202508	8	8
10:13:22.757	8872	1405671202731	1405671202757	1	9
10:13:23.010	9132	1405671202981	1405671203010	0	0
10:13:23.256	9388	1405671203231	1405671203256	1	1
10:13:23.508	9644	1405671203481	1405671203508	2	2
10:13:23.760	9900	1405671203731	1405671203760	3	3
10:13:24.012	10156	1405671203981	1405671204012	4	4
10:13:24.263	10412	1405671204231	1405671204263	5	5
10:13:24.514	10668	1405671204481	1405671204514	6	6
10:13:24.759	10920	1405671204731	1405671204759	7	7
10:13:25.010	11176	1405671204981	1405671205010	8	8
10:13:25.264	11432	1405671205231	1405671205263	1	9
10:13:25.509	11684	1405671205481	1405671205509	0	0
10:13:25.758	11944	1405671205731	1405671205758	1	1
10:13:26.011	12200	1405671205981	1405671206011	2	2
10:13:26.265	12452	1405671206231	1405671206265	3	3
10:13:26.512	12708	1405671206481	1405671206512	4	4
10:13:26.761	12956	1405671206731	1405671206761	5	5
10:13:27.013	13212	1405671206981	1405671207013	6	6
10:13:27.262	13464	1405671207230	1405671207262	7	7
10:13:27.509	13716	1405671207480	1405671207509	8	8
10:13:27.758	13976	1405671207730	1405671207758	1	9
10:13:28.012	14224	1405671207980	1405671208012	0	0
10:13:28.262	14476	1405671208230	1405671208262	1	1
10:13:28.510	14740	1405671208480	1405671208510	2	2
10:13:28.762	14980	1405671208730	1405671208762	3	3
10:13:29.011	15232	1405671208980	1405671209011	4	4
10:13:29.262	15484	1405671209230	1405671209262	5	5
10:13:29.511	15736	1405671209480	1405671209511	6	6
10:13:29.765	15988	1405671209730	1405671209765	7	7
10:13:30.032	16240	1405671209981	1405671210032	8	8
10:13:30.268	120	1405671210231	1405671210268	1	9
10:13:30.507	372	1405671210482	1405671210507	0	0
10:13:30.757	628	1405671210732	1405671210757	1	1
10:13:31.016	884	1405671210982	1405671211016	2	2
10:13:31.263	1140	1405671211232	1405671211263	3	3
10:13:31.511	1396	1405671211482	1405671211511	4	4
10:13:31.761	1652	1405671211732	1405671211761	5	5
10:13:32.007	1904	1405671211982	1405671212007	6	6
10:13:32.268	2160	1405671212231	1405671212268	7	7
10:13:32.510	2416	1405671212481	1405671212510	8	8
10:13:32.762	2672	1405671212731	1405671212762	1	9
10:13:33.011	2932	1405671212981	1405671213011	0	0
10:13:33.258	3188	1405671213231	1405671213258	1	1
10:13:33.516	3444	1405671213481	1405671213516	2	2
10:13:33.762	3700	1405671213731	1405671213762	3	3
10:13:34.011	3952	1405671213981	1405671214011	4	4
10:13:34.262	4208	1405671214231	1405671214261	5	5
10:13:34.508	4460	1405671214481	1405671214508	6	6
10:13:34.756	4724	1405671214731	1405671214756	7	7
