Time	TS	TMT	TMR	delay	offs	error	errorSum	zeroOffset	regOffsMs	phase	tsOffset
10:48:10.483	110212	1405673290452	1405673290483	15	1405673180255	12	3355	1405673180191	1405673180243	1	98304
10:48:10.748	110476	1405673290717	1405673290748	15	1405673180256	13	3367	1405673180191	1405673180243	1	98304
10:48:11.013	110740	1405673290982	1405673291013	15	1405673180257	14	3380	1405673180191	1405673180243	2	98304
10:48:11.279	111008	1405673291248	1405673291279	15	1405673180255	12	3391	1405673180191	1405673180243	2	98304
10:48:11.544	111280	1405673291513	1405673291544	15	1405673180248	5	3395	1405673180191	1405673180244	2	98304
10:48:11.810	111536	1405673291778	1405673291810	16	1405673180258	14	3408	1405673180191	1405673180244	2	98304
10:48:12.075	111800	1405673292044	1405673292075	15	1405673180259	15	3422	1405673180191	1405673180244	2	98304
10:48:12.340	112068	1405673292309	1405673292340	15	1405673180256	12	3433	1405673180191	1405673180244	2	98304
10:48:12.606	112332	1405673292575	1405673292606	15	1405673180258	14	3446	1405673180191	1405673180244	2	98304
10:48:12.871	112596	1405673292840	1405673292871	15	1405673180259	15	3460	1405673180191	1405673180245	2	98304
10:48:13.136	112868	1405673293105	1405673293136	15	1405673180252	7	3466	1405673180191	1405673180245	2	98304
10:48:13.386	113128	1405673293371	1405673293386	7	1405673180250	5	3470	1405673180191	1405673180245	2	98304
10:48:13.667	113392	1405673293636	1405673293667	15	1405673180259	14	3483	1405673180191	1405673180245	2	98304
10:48:13.933	113660	1405673293901	1405673293933	16	1405673180257	12	3494	1405673180191	1405673180245	2	98304
10:48:14.198	113924	1405673294167	1405673294198	15	1405673180258	13	3506	1405673180191	1405673180245	2	98304
10:48:14.463	114188	1405673294432	1405673294463	15	1405673180259	14	3519	1405673180191	1405673180245	2	98304
10:48:14.729	114452	1405673294698	1405673294729	15	1405673180261	16	3534	1405673180191	1405673180246	2	98304
10:48:14.994	114720	1405673294963	1405673294994	15	1405673180258	12	3545	1405673180191	1405673180246	3	114688
10:48:15.259	114984	1405673295228	1405673295259	15	1405673180259	13	3557	1405673180191	1405673180246	3	114688
10:48:15.525	115252	1405673295494	1405673295525	15	1405673180257	11	3567	1405673180191	1405673180246	3	114688
10:48:15.790	115516	1405673295759	1405673295790	15	1405673180258	12	3578	1405673180191	1405673180246	3	114688
10:48:16.056	115780	1405673296024	1405673296056	16	1405673180260	14	3591	1405673180191	1405673180247	3	114688
10:48:16.321	116044	1405673296290	1405673296321	15	1405673180261	14	3604	1405673180191	1405673180247	3	114688
10:48:16.586	116312	1405673296555	1405673296586	15	1405673180258	11	3614	1405673180191	1405673180247	3	114688
10:48:16.852	116588	1405673296821	1405673296852	15	1405673180248	1	3614	1405673180191	1405673180247	3	114688
10:48:17.117	116844	1405673297086	1405673297117	15	1405673180257	10	3623	1405673180191	1405673180247	3	114688
10:48:17.382	117108	1405673297351	1405673297382	15	1405673180258	11	3633	1405673180191	1405673180247	3	114688
10:48:17.648	117372	1405673297617	1405673297648	15	1405673180260	13	3645	1405673180191	1405673180247	3	114688
10:48:17.913	117636	1405673297882	1405673297913	15	1405673180261	14	3658	1405673180191	1405673180248	3	114688
10:48:18.179	117904	1405673298147	1405673298179	16	1405673180259	11	3668	1405673180191	1405673180248	3	114688
10:48:18.444	118168	1405673298413	1405673298444	15	1405673180260	12	3679	1405673180191	1405673180248	3	114688
10:48:18.709	118432	1405673298678	1405673298709	15	1405673180261	13	3691	1405673180191	1405673180248	3	114688
10:48:18.975	118700	1405673298944	1405673298975	15	1405673180259	11	3701	1405673180191	1405673180248	3	114688
10:48:19.240	118968	1405673299209	1405673299240	15	1405673180256	8	3708	1405673180191	1405673180248	1	114688
10:48:19.505	119228	1405673299474	1405673299505	15	1405673180261	13	3720	1405673180191	1405673180249	1	114688
10:48:19.771	119492	1405673299740	1405673299771	15	1405673180263	14	3733	1405673180191	1405673180249	1	114688
10:48:20.036	119756	1405673300005	1405673300036	15	1405673180264	15	3747	1405673180191	1405673180249	1	114688
10:48:20.302	120024	1405673300270	1405673300302	16	1405673180262	13	3759	1405673180191	1405673180249	1	114688
10:48:20.567	120288	1405673300536	1405673300567	15	1405673180263	14	3772	1405673180191	1405673180249	1	114688
10:48:20.832	120552	1405673300801	1405673300832	15	1405673180264	15	3786	1405673180191	1405673180250	1	114688
10:48:21.098	120820	1405673301067	1405673301098	15	1405673180262	12	3797	1405673180191	1405673180250	1	114688
10:48:21.363	121084	1405673301332	1405673301363	15	1405673180263	13	3809	1405673180191	1405673180250	1	114688
10:48:21.628	121348	1405673301597	1405673301628	15	1405673180264	14	3822	1405673180191	1405673180250	1	114688
10:48:21.894	121616	1405673301863	1405673301894	15	1405673180262	12	3833	1405673180191	1405673180250	1	114688
10:48:22.159	121880	1405673302128	1405673302159	15	1405673180263	13	3845	1405673180191	1405673180251	1	114688
10:48:22.425	122144	1405673302393	1405673302425	16	1405673180265	14	3858	1405673180191	1405673180251	1	114688
10:48:22.690	122408	1405673302659	1405673302690	15	1405673180266	15	3872	1405673180191	1405673180251	1	114688
10:48:22.955	122680	1405673302924	1405673302955	15	1405673180259	8	3879	1405673180191	1405673180251	1	114688
10:48:23.221	122940	1405673303190	1405673303221	15	1405673180265	14	3892	1405673180191	1405673180251	1	114688
10:48:23.502	123204	1405673303455	1405673303502	23	1405673180274	23	3914	1405673180191	1405673180252	1	114688
10:48:23.751	123472	1405673303720	1405673303751	15	1405673180263	11	3924	1405673180191	1405673180252	1	114688
10:48:24.017	123736	1405673303986	1405673304017	15	1405673180265	13	3936	1405673180191	1405673180252	1	114688
10:48:24.282	124000	1405673304251	1405673304282	15	1405673180266	14	3949	1405673180191	1405673180252	1	114688
10:48:24.533	124252	1405673304502	1405673304533	15	1405673180265	13	3961	1405673180191	1405673180252	1	114688
10:48:24.798	124524	1405673304767	1405673304798	15	1405673180258	6	3966	1405673180191	1405673180252	1	114688
10:48:25.064	124784	1405673305033	1405673305064	15	1405673180264	12	3977	1405673180191	1405673180253	1	114688
10:48:25.314	125048	1405673305298	1405673305314	8	1405673180258	5	3981	1405673180191	1405673180253	1	114688
10:48:25.595	125312	1405673305563	1405673305595	16	1405673180267	14	3994	1405673180191	1405673180253	1	114688
10:48:25.860	125580	1405673305829	1405673305860	15	1405673180264	11	4004	1405673180191	1405673180253	1	114688
10:48:26.125	125844	1405673306094	1405673306125	15	1405673180265	12	4015	1405673180191	1405673180253	1	114688
10:48:26.375	126108	1405673306359	1405673306375	8	1405673180259	6	4020	1405673180191	1405673180253	1	114688
10:48:26.656	126376	1405673306625	1405673306656	15	1405673180264	11	4030	1405673180191	1405673180253	1	114688
10:48:26.921	126640	1405673306890	1405673306921	15	1405673180265	12	4041	1405673180191	1405673180254	1	114688
10:48:27.187	126904	1405673307156	1405673307187	15	1405673180267	13	4053	1405673180191	1405673180254	1	114688
10:48:27.452	127176	1405673307421	1405673307452	15	1405673180260	6	4058	1405673180191	1405673180254	2	114688
10:48:27.718	127436	1405673307686	1405673307718	16	1405673180266	12	4069	1405673180191	1405673180254	2	114688
10:48:27.983	127700	1405673307952	1405673307983	15	1405673180267	13	4081	1405673180191	1405673180254	2	114688
10:48:28.248	127964	1405673308217	1405673308248	15	1405673180268	14	4094	1405673180191	1405673180254	2	114688
10:48:28.514	128228	1405673308482	1405673308514	16	1405673180270	16	4109	1405673180191	1405673180255	2	114688
