Time	TS	TMT	TMR	SeqExp	SeqRcv
10:48:41.502	10140	1405673321471	1405673321502	1	9
10:48:41.768	10404	1405673321737	1405673321768	0	0
10:48:42.033	10668	1405673322002	1405673322033	1	1
10:48:42.299	10936	1405673322267	1405673322299	2	2
10:48:42.564	11208	1405673322533	1405673322564	3	3
10:48:42.829	11464	1405673322798	1405673322829	4	4
10:48:43.095	11728	1405673323063	1405673323095	5	5
10:48:43.360	11996	1405673323329	1405673323360	6	6
10:48:43.625	12260	1405673323594	1405673323625	7	7
10:48:43.891	12524	1405673323860	1405673323891	8	8
10:48:44.156	12792	1405673324125	1405673324156	1	9
10:48:44.422	13056	1405673324390	1405673324422	0	0
10:48:44.687	13320	1405673324656	1405673324687	1	1
10:48:44.952	13584	1405673324921	1405673324952	2	2
10:48:45.218	13852	1405673325186	1405673325218	3	3
10:48:45.483	14116	1405673325452	1405673325483	4	4
10:48:45.748	14380	1405673325717	1405673325748	5	5
10:48:46.014	14648	1405673325983	1405673326014	6	6
10:48:46.279	14912	1405673326248	1405673326279	7	7
10:48:46.560	15180	1405673326513	1405673326560	8	8
10:48:46.810	15444	1405673326779	1405673326810	1	9
10:48:47.075	15708	1405673327044	1405673327075	0	0
10:48:47.341	15972	1405673327309	1405673327341	1	1
10:48:47.606	16240	1405673327575	1405673327606	2	2
10:48:47.871	120	1405673327840	1405673327871	3	3
10:48:48.137	384	1405673328106	1405673328137	4	4
10:48:48.402	656	1405673328371	1405673328402	5	5
10:48:48.668	916	1405673328636	1405673328668	6	6
10:48:48.917	1180	1405673328902	1405673328917	7	7
10:48:49.198	1444	1405673329167	1405673329198	8	8
10:48:49.464	1712	1405673329432	1405673329464	1	9
10:48:49.729	1976	1405673329698	1405673329729	0	0
10:48:49.994	2240	1405673329963	1405673329994	1	1
10:48:50.260	2508	1405673330229	1405673330260	2	2
10:48:50.525	2776	1405673330494	1405673330525	3	3
10:48:50.791	3036	1405673330759	1405673330791	4	4
10:48:51.056	3300	1405673331025	1405673331056	5	5
10:48:51.321	3568	1405673331290	1405673331321	6	6
10:48:51.587	3832	1405673331555	1405673331587	7	7
10:48:51.852	4096	1405673331821	1405673331852	8	8
10:48:52.117	4364	1405673332086	1405673332117	1	9
10:48:52.383	4628	1405673332352	1405673332383	0	0
10:48:52.648	4892	1405673332617	1405673332648	1	1
10:48:52.914	5160	1405673332882	1405673332914	2	2
10:48:53.179	5424	1405673333148	1405673333179	3	3
10:48:53.444	5692	1405673333413	1405673333444	4	4
10:48:53.710	5956	1405673333678	1405673333710	5	5
10:48:53.975	6220	1405673333944	1405673333975	6	6
10:48:54.240	6484	1405673334209	1405673334240	7	7
10:48:54.506	6752	1405673334475	1405673334506	8	8
10:48:54.771	7016	1405673334740	1405673334771	1	9
10:48:55.037	7280	1405673335005	1405673335037	0	0
10:48:55.302	7544	1405673335271	1405673335302	1	1
10:48:55.567	7812	1405673335536	1405673335567	2	2
10:48:55.833	8076	1405673335801	1405673335833	3	3
10:48:56.098	8344	1405673336067	1405673336098	4	4
10:48:56.363	8608	1405673336332	1405673336363	5	5
10:48:56.629	8876	1405673336598	1405673336629	6	6
10:48:56.894	9136	1405673336863	1405673336894	7	7
10:48:57.160	9400	1405673337128	1405673337160	8	8
10:48:57.409	9668	1405673337394	1405673337409	1	9
10:48:57.690	9932	1405673337659	1405673337690	0	0
10:48:57.956	10196	1405673337924	1405673337956	1	1
10:48:58.221	10464	1405673338190	1405673338221	2	2
10:48:58.486	10728	1405673338455	1405673338486	3	3
10:48:58.752	10992	1405673338721	1405673338752	4	4
10:48:59.017	11256	1405673338986	1405673339017	5	5
10:48:59.283	11524	1405673339251	1405673339283	6	6
10:48:59.548	11788	1405673339517	1405673339548	7	7
10:48:59.813	12056	1405673339782	1405673339813	8	8
10:49:00.079	12320	1405673340047	1405673340079	1	9
10:49:00.344	12584	1405673340313	1405673340344	0	0
10:49:00.609	12848	1405673340578	1405673340609	1	1
10:49:00.875	13116	1405673340844	1405673340875	2	2
10:49:01.140	13380	1405673341109	1405673341140	3	3
10:49:01.406	13648	1405673341374	1405673341406	4	4
10:49:01.671	13912	1405673341640	1405673341671	5	5
10:49:01.952	14196	1405673341905	1405673341952	6	6
10:49:02.202	14440	1405673342170	1405673342202	7	7
10:49:02.467	14704	1405673342436	1405673342467	8	8
10:49:02.732	14972	1405673342701	1405673342732	1	9
10:49:02.998	15236	1405673342967	1405673342998	0	0
10:49:03.263	15504	1405673343232	1405673343263	1	1
10:49:03.529	15768	1405673343497	1405673343529	2	2
10:49:03.794	16032	1405673343763	1405673343794	3	3
10:49:04.075	16296	1405673344028	1405673344075	4	4
10:49:04.325	180	1405673344293	1405673344325	5	5
10:49:04.590	444	1405673344559	1405673344590	6	6
10:49:04.855	708	1405673344824	1405673344855	7	7
10:49:05.121	976	1405673345090	1405673345121	8	8
10:49:05.386	1244	1405673345355	1405673345386	1	9
10:49:05.652	1504	1405673345620	1405673345652	0	0
10:49:05.917	1768	1405673345886	1405673345917	1	1
10:49:06.182	2036	1405673346151	1405673346182	2	2
10:49:06.448	2300	1405673346416	1405673346448	3	3
10:49:06.713	2564	1405673346682	1405673346713	4	4
10:49:06.978	2832	1405673346947	1405673346978	5	5
10:49:07.244	3096	1405673347213	1405673347244	6	6
10:49:07.509	3360	1405673347478	1405673347509	7	7
10:49:07.775	3628	1405673347743	1405673347775	8	8
10:49:08.040	3892	1405673348009	1405673348040	1	9
10:49:08.305	4156	1405673348274	1405673348305	0	0
10:49:08.571	4420	1405673348539	1405673348571	1	1
10:49:08.836	4688	1405673348805	1405673348836	2	2
10:49:09.101	4952	1405673349070	1405673349101	3	3
10:49:09.367	5216	1405673349336	1405673349367	4	4
10:49:09.648	5492	1405673349601	1405673349648	5	5
10:49:09.898	5748	1405673349866	1405673349898	6	6
10:49:10.163	6012	1405673350132	1405673350163	7	7
10:49:10.428	6280	1405673350397	1405673350428	8	8
10:49:10.694	6544	1405673350662	1405673350694	1	9
10:49:10.959	6808	1405673350928	1405673350959	0	0
10:49:11.224	7080	1405673351193	1405673351224	1	1
10:49:11.490	7340	1405673351459	1405673351490	2	2
10:49:11.755	7604	1405673351724	1405673351755	3	3
10:49:12.021	7868	1405673351989	1405673352021	4	4
10:49:12.286	8136	1405673352255	1405673352286	5	5
10:49:12.551	8400	1405673352520	1405673352551	6	6
10:49:12.817	8664	1405673352785	1405673352817	7	7
